source_relative_path,target_relative_path,bucket,brand,score,doc_type,theme,suggested_title,rationale
Documentacao Tecnica/Orona/Orona - IMEM ELEC 7.pdf,high_confidence/Orona/IMEM ELEC 7.pdf,high_confidence,Orona,17,Wiring Diagram,IMEM electrical wiring set,IMEM ELEC 7,"doc_type=Wiring_Diagram; high=wiring diagram,electrical schematic,wiring,schematic; medium=electrical,diagram; doc_suffix"
Documentacao Tecnica/Orona/Orona - IMEM ELEC 8.pdf,high_confidence/Orona/IMEM ELEC 8.pdf,high_confidence,Orona,16,Wiring Diagram,IMEM electrical wiring set,IMEM ELEC 8,"doc_type=Wiring_Diagram; high=wiring diagram,wiring; medium=electrical,diagram,circuit; doc_suffix"
Documentacao Tecnica/Orona/Orona - IMEM ELEC 9.pdf,high_confidence/Orona/IMEM ELEC 9.pdf,high_confidence,Orona,17,Wiring Diagram,IMEM electrical wiring set,IMEM ELEC 9,"doc_type=Wiring_Diagram; high=wiring diagram,electrical drawing,wiring; medium=electrical,diagram; doc_suffix"
Documentacao Tecnica/Orona/Orona - IMEM ESQ - IMEM.pdf,high_confidence/Orona/IMEM ESQ - IMEM.pdf,high_confidence,Orona,15,Wiring Diagram,IMEM rescue brake and inspection wiring,IMEM ESQ - IMEM,"doc_type=Wiring_Diagram; high=wiring diagram,wiring; medium=electrical,diagram; doc_suffix"
Documentacao Tecnica/Orona/Orona - IMEM MRL ESQ - IMEM.pdf,high_confidence/Orona/IMEM MRL ESQ - IMEM.pdf,high_confidence,Orona,15,Wiring Diagram,IMEM MRL electrical wiring,IMEM MRL ESQ - IMEM,"doc_type=Wiring_Diagram; high=wiring diagram,wiring; medium=electrical,diagram; doc_suffix"
Documentacao Tecnica/Orona/Orona - IMEM.pdf,high_confidence/Orona/IMEM Installation Manual.pdf,high_confidence,Orona,7,Manual,IMEM installation and connector wiring,IMEM Installation Manual,"high=wiring,pinout,wiring instructions; doc_suffix"
Documentacao Tecnica/Orona/Orona - Kollmorgan Dwgs.pdf,high_confidence/Orona/Kollmorgan Drawings.pdf,high_confidence,Orona,17,Wiring Diagram,Kollmorgan drawings,Kollmorgan Drawings,"doc_type=Wiring_Diagram; high=wiring diagram,wiring; medium=diagram,connection,drawings,drawings.pdf; doc_suffix"
Documentacao Tecnica/Orona/Orona - Lester Control Mitsubishi PLC.pdf,high_confidence/Orona/Lester Control Mitsubishi PLC.pdf,high_confidence,Orona,14,Wiring Diagram,PLC-based lift control,Lester Control Mitsubishi PLC,"doc_type=Wiring_Diagram; high=wiring diagram,wiring; medium=diagram; doc_suffix"
Documentacao Tecnica/Orona/Orona - MPK40 - drawings 38098.pdf,high_confidence/Orona/MPK 40 BST Terminal Arrangement.pdf,high_confidence,Orona,16,Wiring Diagram,Electrical Terminal Arrangement,MPK 40 BST Terminal Arrangement,"doc_type=Wiring_Diagram; high=wiring diagram,wiring; medium=electrical,diagram,drawings; doc_suffix"
Documentacao Tecnica/Orona/Orona - Main 1.tif,high_confidence/Orona/Lift Control Schematic.tif,high_confidence,Orona,16,Wiring Diagram,Traction lift control wiring,Lift Control Schematic,"doc_type=Wiring_Diagram; high=wiring diagram,wiring,schematic; medium=diagram; doc_suffix"
Documentacao Tecnica/Orona/Orona - Main 2.tif,high_confidence/Orona/Lift Control Schematic__dup1.tif,high_confidence,Orona,17,Wiring Diagram,Traction lift control wiring,Lift Control Schematic,"doc_type=Wiring_Diagram; high=wiring diagram,wiring,schematic; medium=diagram,connection; doc_suffix"
Documentacao Tecnica/Orona/Orona - POWER UNIT EN.pdf,high_confidence/Orona/Power Unit Wiring Diagram.pdf,high_confidence,Orona,16,Wiring Diagram,Power unit,Power Unit Wiring Diagram,"doc_type=Wiring_Diagram; high=wiring diagram,wiring,schematic; medium=diagram; doc_suffix"
Documentacao Tecnica/Orona/Orona - Pintoc.pdf,high_confidence/Orona/Pintoc Wiring Diagram.pdf,high_confidence,Orona,17,Wiring Diagram,Drive wiring diagram,Pintoc Wiring Diagram,"doc_type=Wiring_Diagram; high=wiring diagram,wiring,schematic; medium=electrical,diagram; doc_suffix"
Documentacao Tecnica/Orona/Orona - Relay Panel All.pdf,high_confidence/Orona/Relay Panel Documentation.pdf,high_confidence,Orona,15,Wiring Diagram,Relay panel documentation,Relay Panel Documentation,"doc_type=Wiring_Diagram; high=wiring diagram,wiring; medium=electrical,diagram; doc_suffix"
Documentacao Tecnica/Orona/Orona - Relay Panel.pdf,high_confidence/Orona/Relay Panel Documentation__dup1.pdf,high_confidence,Orona,15,Wiring Diagram,Relay panel documentation,Relay Panel Documentation,"doc_type=Wiring_Diagram; high=wiring diagram,wiring; medium=electrical,diagram; doc_suffix"
Documentacao Tecnica/Orona/Orona - SIDEO 13.pdf,high_confidence/Orona/SIDEO 13 Drawings.pdf,high_confidence,Orona,16,Wiring Diagram,SIDEO controller drawing set,SIDEO 13 Drawings,"doc_type=Wiring_Diagram; high=wiring diagram,wiring; medium=diagram,drawings,drawings.pdf; doc_suffix"
Documentacao Tecnica/Orona/Orona - SIDEO 23.pdf,high_confidence/Orona/SIDEO 23 Drawings.pdf,high_confidence,Orona,16,Wiring Diagram,SIDEO controller drawing set,SIDEO 23 Drawings,"doc_type=Wiring_Diagram; high=wiring diagram,wiring; medium=diagram,drawings,drawings.pdf; doc_suffix"
Documentacao Tecnica/Orona/Orona - SIEI E - TYPE.pdf,high_confidence/Orona/E - Type Lift Controller Drawings.pdf,high_confidence,Orona,19,Wiring Diagram,E-type lift controller schematics,E-Type Lift Controller Drawings,"doc_type=Wiring_Diagram; high=wiring diagram,wiring,schematic,schematics; medium=diagram,circuit,connection,drawings; doc_suffix"
Documentacao Tecnica/Orona/Orona - SMR0196 41969 1 16272.pdf,high_confidence/Orona/Controller Wiring Schedule.pdf,high_confidence,Orona,16,Wiring Diagram,Controller wiring and safety logic,Controller Wiring Schedule,"doc_type=Wiring_Diagram; high=wiring diagram,wiring; medium=diagram,connection,controller wiring; doc_suffix"
Documentacao Tecnica/Orona/Orona - Scematic Drawing.pdf,high_confidence/Orona/Schematic Drawing.pdf,high_confidence,Orona,17,Wiring Diagram,Electrical schematic,Schematic Drawing,"doc_type=Wiring_Diagram; high=wiring diagram,electrical schematic,wiring,schematic; medium=electrical,diagram; doc_suffix"
Documentacao Tecnica/Orona/Orona - V0 04 GB H32 FL02 08 12 08.pdf,high_confidence/Orona/Orona - V0 04 GB H32 FL02 08 12 08.pdf,high_confidence,Orona,14,Wiring Diagram,Mistral controller variant,Mistral Lift Wiring Diagram,"doc_type=Wiring_Diagram; high=wiring diagram,wiring; medium=diagram; doc_suffix"
Documentacao Tecnica/Orona/Orona - V0 05 GB MISTRAL FL02 NO LABEL 08 12 08.pdf,high_confidence/Orona/Orona - V0 05 GB MISTRAL FL02 NO LABEL 08 12 08.pdf,high_confidence,Orona,14,Wiring Diagram,Maisonlift controller variant,Maisonlift Lift Wiring Diagram,"doc_type=Wiring_Diagram; high=wiring diagram,wiring; medium=diagram; doc_suffix"
Documentacao Tecnica/Orona/Orona - V0 05 GB maisonlift H32 FL02 08 12 08.pdf,high_confidence/Orona/Orona - V0 05 GB maisonlift H32 FL02 08 12 08.pdf,high_confidence,Orona,14,Wiring Diagram,Atlas controller variant,Atlas Lift Wiring Diagram,"doc_type=Wiring_Diagram; high=wiring diagram,wiring; medium=diagram; doc_suffix"
Documentacao Tecnica/Orona/Orona - V0 06 GB ATLAS FL02 08 12 08.pdf,high_confidence/Orona/7000 Series Wiring Diagram.pdf,high_confidence,Orona,18,Wiring Diagram,Controller wiring,7000 Series Wiring Diagram,"doc_type=Wiring_Diagram; high=wiring diagram,electrical schematic,wiring,schematic; medium=electrical,diagram,controller wiring; doc_suffix"
Documentacao Tecnica/Orona/Orona - WD 7000 400 100902.pdf,high_confidence/Orona/7000 Series Wiring Diagram 400V.pdf,high_confidence,Orona,17,Wiring Diagram,7000 series controller wiring,7000 Series Wiring Diagram 400V,"doc_type=Wiring_Diagram; high=wiring diagram,wiring,schematic; medium=diagram,controller wiring; doc_suffix"
Documentacao Tecnica/Orona/Orona - WD 7000 Freq 100902.pdf,high_confidence/Orona/7000 Series Wiring Diagram 230V.pdf,high_confidence,Orona,18,Wiring Diagram,7000 series controller wiring,7000 Series Wiring Diagram 230V,"doc_type=Wiring_Diagram; high=wiring diagram,wiring,schematic; medium=diagram,connection,controller wiring; doc_suffix"
Documentacao Tecnica/Orona/Orona - cover dup22.jpg,high_confidence/Orona/Cabin Position Sensor Wiring Diagram.jpg,high_confidence,Orona,17,Wiring Diagram,Sensor / Encoder Wiring,Cabin Position Sensor Wiring Diagram,"doc_type=Wiring_Diagram; high=wiring diagram,wiring,schematic; medium=diagram,connection; doc_suffix"
Documentacao Tecnica/Orona/Orona - cover dup23.jpg,high_confidence/Orona/Position Sensor Signal Wiring Diagram.jpg,high_confidence,Orona,17,Wiring Diagram,Sensor / Encoder Wiring,Position Sensor Signal Wiring Diagram,"doc_type=Wiring_Diagram; high=wiring diagram,wiring,schematic; medium=diagram,connection; doc_suffix"
Documentacao Tecnica/Orona/Orona - cover dup24.jpg,high_confidence/Orona/Orona - cover dup24.jpg,high_confidence,Orona,15,Wiring Diagram,Safety Switches / Limit Circuits,Limit and Safety Circuit Wiring Diagram,"doc_type=Wiring_Diagram; high=wiring diagram,wiring; medium=diagram,circuit; doc_suffix"
Documentacao Tecnica/Orona/Orona - cover dup25.jpg,high_confidence/Orona/Automatic Door Wiring Diagram.jpg,high_confidence,Orona,14,Wiring Diagram,Automatic Door Control,Automatic Door Wiring Diagram,"doc_type=Wiring_Diagram; high=wiring diagram,wiring; medium=diagram; doc_suffix"
Documentacao Tecnica/Orona/Orona - cover dup28.jpg,high_confidence/Orona/Door Interlock and Safety Circuit Diagram.jpg,high_confidence,Orona,17,Wiring Diagram,Door Safety / Locking Circuit,Door Interlock and Safety Circuit Diagram,"doc_type=Wiring_Diagram; high=wiring diagram,circuit diagram,wiring,schematic; medium=diagram,circuit; doc_suffix"
Documentacao Tecnica/Orona/Orona - cover dup29.jpg,high_confidence/Orona/Door Interlock Wiring Diagram.jpg,high_confidence,Orona,15,Wiring Diagram,Door Safety / Locking Circuit,Door Interlock Wiring Diagram,"doc_type=Wiring_Diagram; high=wiring diagram,wiring; medium=diagram,circuit; doc_suffix"
Documentacao Tecnica/Orona/Orona - cover dup30.jpg,high_confidence/Orona/Orona - cover dup30.jpg,high_confidence,Orona,15,Wiring Diagram,Landing Indicators / Power Supply,Landing Indicator Power Supply Diagram,"doc_type=Wiring_Diagram; high=wiring diagram,wiring; medium=electrical,diagram; doc_suffix"
Documentacao Tecnica/Orona/Orona - cover dup4.jpg,high_confidence/Orona/EM2000 Duplex Multiplex Connection Diagram.jpg,high_confidence,Orona,16,Wiring Diagram,Multiplex Control,EM2000 Duplex Multiplex Connection Diagram,"doc_type=Wiring_Diagram; high=wiring diagram,wiring; medium=electrical,diagram,connection; doc_suffix"
Documentacao Tecnica/Orona/Orona - cover dup6.jpg,high_confidence/Orona/Orona - cover dup6.jpg,high_confidence,Orona,17,Wiring Diagram,Door and Safety Circuits,Door and Safety Wiring Diagram,"doc_type=Wiring_Diagram; high=wiring diagram,wiring,schematic; medium=diagram,circuit; doc_suffix"
Documentacao Tecnica/Orona/Orona - mp500 in - out 1.tif,high_confidence/Orona/MP500 Input - Output Diagram 1.tif,high_confidence,Orona,16,Wiring Diagram,MP500 input-output wiring,MP500 Input-Output Diagram 1,"doc_type=Wiring_Diagram; high=wiring diagram,wiring,schematic; medium=diagram; doc_suffix"
Documentacao Tecnica/Orona/Orona - mp500 in - out 2.tif,high_confidence/Orona/MP500 Input - Output Diagram 2.tif,high_confidence,Orona,16,Wiring Diagram,MP500 input-output wiring,MP500 Input-Output Diagram 2,"doc_type=Wiring_Diagram; high=wiring diagram,wiring,schematic; medium=diagram; doc_suffix"
Documentacao Tecnica/Orona/Orona - part 6.pdf,high_confidence/Orona/Semiautomatic Landing Door Wiring.pdf,high_confidence,Orona,15,Wiring Diagram,Landing door wiring,Semiautomatic Landing Door Wiring,"doc_type=Wiring_Diagram; high=wiring diagram,wiring; medium=diagram,connection; doc_suffix"
Documentacao Tecnica/Orona/Orona - part 7.pdf,high_confidence/Orona/Overspeed Governor Wiring.pdf,high_confidence,Orona,15,Wiring Diagram,Safety device wiring,Overspeed Governor Wiring,"doc_type=Wiring_Diagram; high=wiring diagram,wiring; medium=diagram,circuit; doc_suffix"
Documentacao Tecnica/Orona/Orona - part 8.pdf,high_confidence/Orona/Pit Stop and Car Door Wiring.pdf,high_confidence,Orona,15,Wiring Diagram,Pit stop and door wiring,Pit Stop and Car Door Wiring,"doc_type=Wiring_Diagram; high=wiring diagram,wiring; medium=diagram,connection; doc_suffix"
Documentacao Tecnica/Orona/Orona - part 9.pdf,high_confidence/Orona/ATLAS RPH Annex Components and Connections.pdf,high_confidence,Orona,15,Wiring Diagram,RPH annex wiring and connections,ATLAS RPH Annex: Components and Connections,"doc_type=Wiring_Diagram; high=wiring diagram,wiring; medium=diagram,connection; doc_suffix"
Documentacao Tecnica/Orona/Orona - siei.pdf,high_confidence/Orona/D - Type Lift Controller Wiring Diagrams.pdf,high_confidence,Orona,17,Wiring Diagram,Lift controller wiring diagrams,D-Type Lift Controller Wiring Diagrams,"doc_type=Wiring_Diagram; high=wiring diagram,wiring; medium=electrical,diagram,connection,controller wiring; doc_suffix"
Documentacao Tecnica/Orona/fairfield orona drawings hyd.pdf,high_confidence/Orona/fairfield orona drawings hyd.pdf,high_confidence,Orona,15,Wiring Diagram,Hydraulic drawings,Fairfield Orona Hydraulic Drawings,"doc_type=Wiring_Diagram; high=wiring diagram,wiring; medium=diagram,drawings; doc_suffix"
Documentacao Tecnica/Otis/OTIS CEN ASC INCLINADO ENE - 1990 - OTIS CEN.pdf,review/Otis/CEN Inclined Elevator OMEGATROL 3FC Manual.pdf,review,Otis,6,Manual,Inclined elevator control system,CEN Inclined Elevator OMEGATROL 3FC Manual,"high=schematic,schematics; medium=diagram; doc_suffix"
Documentacao Tecnica/Otis/OTIS MCS 220 ESQUENA - OTIS.pdf,high_confidence/Otis/MCS220 Diagram.pdf,high_confidence,Otis,16,Wiring Diagram,MCS220 wiring diagram,MCS220 Diagram,"doc_type=Wiring_Diagram; high=wiring diagram,wiring,schematic; medium=diagram; doc_suffix"
Documentacao Tecnica/Otis/OTIS MCS 411 413 DIRECT D CONEXIONADO - OTIS MCS 411.pdf,high_confidence/Otis/MCS411 Direct Connection Diagram.pdf,high_confidence,Otis,17,Wiring Diagram,MCS411 direct connection,MCS411 Direct Connection Diagram,"doc_type=Wiring_Diagram; high=wiring diagram,wiring,schematic; medium=diagram,connection; doc_suffix"
Documentacao Tecnica/Otis/OTIS NE 300.pdf,high_confidence/Otis/NE 300.pdf,high_confidence,Otis,17,Wiring Diagram,Controller / machine-room interface,NE 300,"doc_type=Wiring_Diagram; high=wiring diagram,wiring,schematic; medium=diagram,interface; doc_suffix"
Documentacao Tecnica/Otis/OTIS NE 300__dup1.pdf,high_confidence/Otis/NE 300__dup1.pdf,high_confidence,Otis,15,Wiring Diagram,Controller / machine-room interface,NE 300,"doc_type=Wiring_Diagram; high=wiring diagram,wiring; medium=diagram,interface; doc_suffix"
Documentacao Tecnica/Otis/OTIS RS 18 - OTIS.pdf,high_confidence/Otis/RS 18.pdf,high_confidence,Otis,17,Wiring Diagram,Relay or control module,RS 18,"doc_type=Wiring_Diagram; high=wiring diagram,wiring,schematic; medium=electrical,diagram; doc_suffix"
Documentacao Tecnica/Otis/OTIS relÃ s 401.pdf,high_confidence/Otis/Relay 401.pdf,high_confidence,Otis,16,Wiring Diagram,Relay control logic,Relay 401,"doc_type=Wiring_Diagram; high=wiring diagram,wiring; medium=electrical,diagram,circuit; doc_suffix"
Documentacao Tecnica/Otis/Otis - 1 dup1.jpg,high_confidence/Otis/NE300 Microprocessor Wiring Diagram.jpg,high_confidence,Otis,15,Wiring Diagram,NE300 microprocessor wiring,NE300 Microprocessor Wiring Diagram,"doc_type=Wiring_Diagram; high=wiring diagram,wiring; medium=electrical,diagram; doc_suffix"
Documentacao Tecnica/Otis/Otis - 2 dup1.jpg,high_confidence/Otis/NE300 Microprocessor Wiring Diagram 2.jpg,high_confidence,Otis,16,Wiring Diagram,NE300 microprocessor wiring,NE300 Microprocessor Wiring Diagram 2,"doc_type=Wiring_Diagram; high=wiring diagram,wiring,schematic; medium=diagram; doc_suffix"
Documentacao Tecnica/Otis/Otis - 2 dup2.jpg,high_confidence/Otis/NE300 Microprocessor Wiring Diagram 3.jpg,high_confidence,Otis,15,Wiring Diagram,NE300 microprocessor wiring,NE300 Microprocessor Wiring Diagram 3,"doc_type=Wiring_Diagram; high=wiring diagram,wiring; medium=diagram,connection; doc_suffix"
Documentacao Tecnica/Otis/Otis - 3 dup1.jpg,high_confidence/Otis/NE300 Microprocessor Wiring Diagram 4.jpg,high_confidence,Otis,14,Wiring Diagram,NE300 microprocessor wiring,NE300 Microprocessor Wiring Diagram 4,"doc_type=Wiring_Diagram; high=wiring diagram,wiring; medium=diagram; doc_suffix"
Documentacao Tecnica/Otis/Otis - 3 dup2.jpg,high_confidence/Otis/NE300 Microprocessor Wiring Diagram 5.jpg,high_confidence,Otis,14,Wiring Diagram,NE300 microprocessor wiring,NE300 Microprocessor Wiring Diagram 5,"doc_type=Wiring_Diagram; high=wiring diagram,wiring; medium=diagram; doc_suffix"
Documentacao Tecnica/Otis/Otis - 4 dup1.jpg,high_confidence/Otis/NE300 Car and Hall Call Wiring Table.jpg,high_confidence,Otis,14,Wiring Diagram,Landing call wiring and terminal map,NE300 Car and Hall Call Wiring Table,"doc_type=Wiring_Diagram; high=wiring diagram,wiring; medium=diagram; doc_suffix"
Documentacao Tecnica/Otis/Otis - 4 dup2.jpg,review/Otis/NE300 Controller Apparatus List.jpg,review,Otis,6,Datasheet,Controller apparatus list,NE300 Controller Apparatus List,"high=wiring diagram,wiring; medium=diagram; doc_suffix"
Documentacao Tecnica/Otis/Otis - 4 dup3.jpg,high_confidence/Otis/NE300 Microprocessor Wiring Diagram 6.jpg,high_confidence,Otis,16,Wiring Diagram,NE300 microprocessor wiring,NE300 Microprocessor Wiring Diagram 6,"doc_type=Wiring_Diagram; high=wiring diagram,wiring,schematic; medium=diagram; doc_suffix"
Documentacao Tecnica/Otis/Otis - 5 dup1.jpg,high_confidence/Otis/Call Wiring and Device Table.jpg,high_confidence,Otis,14,Wiring Diagram,Call wiring and relay table,Call Wiring and Device Table,"doc_type=Wiring_Diagram; high=wiring diagram,wiring; medium=diagram; doc_suffix"
Documentacao Tecnica/Otis/Otis - 5 dup2.jpg,high_confidence/Otis/Call Wiring and Device Table 2.jpg,high_confidence,Otis,14,Wiring Diagram,Call wiring and relay table,Call Wiring and Device Table 2,"doc_type=Wiring_Diagram; high=wiring diagram,wiring; medium=diagram; doc_suffix"
Documentacao Tecnica/Otis/Otis - 6 dup1.jpg,high_confidence/Otis/NE300 Microprocessor Operation Wiring Diagram.jpg,high_confidence,Otis,16,Wiring Diagram,NE300 controller / duplex wiring,NE300 Microprocessor Operation Wiring Diagram,"doc_type=Wiring_Diagram; high=wiring diagram,wiring,pinout; medium=diagram; doc_suffix"
Documentacao Tecnica/Otis/Otis - 6 dup2.jpg,high_confidence/Otis/MCS220 Duplex Electrical Schematic.jpg,high_confidence,Otis,17,Wiring Diagram,MCS220 duplex controller,MCS220 Duplex Electrical Schematic,"doc_type=Wiring_Diagram; high=wiring diagram,electrical schematic,wiring,schematic; medium=electrical,diagram; doc_suffix"
Documentacao Tecnica/Otis/Otis - Aaibrd.doc,high_confidence/Otis/Otis - Aaibrd.doc,high_confidence,Otis,13,Wiring Diagram,AAI board documentation,AAI Board,"doc_type=Wiring_Diagram; high=wiring diagram,wiring; medium=diagram"
Documentacao Tecnica/Otis/Otis - BDC 4 - LWD Part5.doc,high_confidence/Otis/Otis - BDC 4 - LWD Part5.doc,high_confidence,Otis,13,Wiring Diagram,Landing/door wiring,LWD Part 5,"doc_type=Wiring_Diagram; high=wiring diagram,wiring; medium=diagram"
Documentacao Tecnica/Otis/Otis - Doc Tecnica__dup10.jpg,high_confidence/Otis/NE300 Basic Wiring and Signal List.jpg,high_confidence,Otis,14,Wiring Diagram,NE300 controller / wiring and I/O,NE300 Basic Wiring and Signal List,"doc_type=Wiring_Diagram; high=wiring diagram,wiring; medium=diagram; doc_suffix"
Documentacao Tecnica/Otis/Otis - Doc Tecnica__dup4.txt,high_confidence/Otis/Serial Port Wiring Details.txt,high_confidence,Otis,15,Wiring Diagram,Communication wiring,Serial Port Wiring Details,"doc_type=Wiring_Diagram; high=wiring diagram,wiring,pinout; medium=diagram"
Documentacao Tecnica/Otis/Otis - Doc Tecnica__dup8.jpg,high_confidence/Otis/NE300 Controller Call Chart.jpg,high_confidence,Otis,15,Wiring Diagram,Call Assignments / Panel Layout,NE300 Controller Call Chart,"doc_type=Wiring_Diagram; high=wiring diagram,wiring; medium=diagram,controller wiring; doc_suffix"
Documentacao Tecnica/Otis/Otis - GAE30075FAA.txt,high_confidence/Otis/CB TTL and RCB TTL Pin Assignment.txt,high_confidence,Otis,16,Wiring Diagram,Control board pinout,CB/TTL and RCB/TTL Pin Assignment,"doc_type=Wiring_Diagram; high=wiring diagram,wiring,pinout; medium=diagram,connection"
Documentacao Tecnica/Otis/Otis - GAE30075GAA.txt,high_confidence/Otis/CB TTL and RCB TTL Pin Assignment__dup1.txt,high_confidence,Otis,15,Wiring Diagram,Control board pinout,CB/TTL and RCB/TTL Pin Assignment,"doc_type=Wiring_Diagram; high=wiring diagram,wiring,pinout; medium=diagram"
Documentacao Tecnica/Otis/Otis - GEN 2 Electrical Drawings.pdf,high_confidence/Otis/GEN2 Electrical Drawings.pdf,high_confidence,Otis,19,Wiring Diagram,Electrical drawings,GEN2 Electrical Drawings,"doc_type=Wiring_Diagram; high=wiring diagram,electrical drawing,electrical drawings,wiring; medium=electrical,diagram,drawings,drawings.pdf; doc_suffix"
Documentacao Tecnica/Otis/Otis - Gen2 Electrical Drawings 2007.pdf,high_confidence/Otis/Otis GeN2 Electrical Drawings 2007.pdf,high_confidence,Otis,18,Wiring Diagram,Gen2 electrical drawings,Otis GeN2 Electrical Drawings 2007,"doc_type=Wiring_Diagram; high=wiring diagram,electrical drawing,electrical drawings,wiring; medium=electrical,diagram,drawings; doc_suffix"
Documentacao Tecnica/Otis/Otis - HAMMONDS IO.txt,high_confidence/Otis/Hammonds I O Map.txt,high_confidence,Otis,13,Wiring Diagram,I/O map / wiring list,Hammonds I/O Map,"doc_type=Wiring_Diagram; high=wiring diagram,wiring; medium=diagram"
Documentacao Tecnica/Otis/Otis - HWDiagr.pdf,high_confidence/Otis/Hardware Wiring Diagram.pdf,high_confidence,Otis,17,Wiring Diagram,Wiring diagrams,Hardware Wiring Diagram,"doc_type=Wiring_Diagram; high=wiring diagram,wiring,schematic; medium=electrical,diagram; doc_suffix"
Documentacao Tecnica/Otis/Otis - MCB STM AAF.doc,high_confidence/Otis/MCB STM AAF Wiring Diagram.doc,high_confidence,Otis,15,Wiring Diagram,Machine Controller Board / Wiring,MCB STM AAF Wiring Diagram,"doc_type=Wiring_Diagram; high=wiring diagram,wiring; medium=electrical,diagram,connection"
Documentacao Tecnica/Otis/Otis - MCB SUR AAF.doc,high_confidence/Otis/MCB SUR AAF Wiring Diagram.doc,high_confidence,Otis,13,Wiring Diagram,Machine Controller Board / Wiring,MCB SUR AAF Wiring Diagram,"doc_type=Wiring_Diagram; high=wiring diagram,wiring; medium=diagram"
Documentacao Tecnica/Otis/Otis - MCB SUR.doc,high_confidence/Otis/MCB SUR Wiring Diagram.doc,high_confidence,Otis,15,Wiring Diagram,Machine Controller Board / Wiring,MCB SUR Wiring Diagram,"doc_type=Wiring_Diagram; high=wiring diagram,wiring,schematic; medium=diagram"
Documentacao Tecnica/Otis/Otis - MCS 120 - 220 Electrical Drawings.pdf,high_confidence/Otis/MCS 120 - 220 Electrical Drawings.pdf,high_confidence,Otis,19,Wiring Diagram,Machine Controller / Electrical Drawings,MCS 120-220 Electrical Drawings,"doc_type=Wiring_Diagram; high=wiring diagram,electrical drawing,electrical drawings,wiring; medium=electrical,diagram,drawings,drawings.pdf; doc_suffix"
Documentacao Tecnica/Otis/Otis - MCS 120 HYD drawings.pdf,high_confidence/Otis/MCS 120 Hydraulic Drawings.pdf,high_confidence,Otis,16,Wiring Diagram,Hydraulic Controller / Drawings,MCS 120 Hydraulic Drawings,"doc_type=Wiring_Diagram; high=wiring diagram,wiring; medium=diagram,drawings,drawings.pdf; doc_suffix"
Documentacao Tecnica/Otis/Otis - MCS 220 H Casa das Maquinas.pdf,high_confidence/Otis/MCS 220 H Machine Room Wiring.pdf,high_confidence,Otis,16,Wiring Diagram,Machine Room Wiring / Controller,MCS 220 H Machine Room Wiring,"doc_type=Wiring_Diagram; high=wiring diagram,wiring,schematic; medium=diagram; doc_suffix"
Documentacao Tecnica/Otis/Otis - MCS 220 H Poço.pdf,high_confidence/Otis/MCS 220 H Hoistway Wiring.pdf,high_confidence,Otis,15,Wiring Diagram,Hoistway Wiring / Landing Devices,MCS 220 H Hoistway Wiring,"doc_type=Wiring_Diagram; high=wiring diagram,wiring; medium=diagram,connection; doc_suffix"
Documentacao Tecnica/Otis/Otis - MCS220CXGEN2 V4 A4.pdf,high_confidence/Otis/MCS 220 CX GEN2 Microprocessor Controller.pdf,high_confidence,Otis,14,Wiring Diagram,Microprocessor Controller / GEN2 Configuration,MCS 220 CX GEN2 Microprocessor Controller,"doc_type=Wiring_Diagram; high=wiring diagram,wiring; medium=diagram; doc_suffix"
Documentacao Tecnica/Otis/Otis - RCB2 IOS NO 3.txt,high_confidence/Otis/RCB II I O List - Exchange CT No 3.txt,high_confidence,Otis,13,Wiring Diagram,RCB II I/O mapping,RCB II I/O List - Exchange CT No. 3,"doc_type=Wiring_Diagram; high=wiring diagram,wiring; medium=diagram"
Documentacao Tecnica/Otis/Otis - RS 5 cct.tiff,high_confidence/Otis/RS5 Controller Circuit Diagram.tiff,high_confidence,Otis,18,Wiring Diagram,Controller Interface Board,RS5 Controller Circuit Diagram,"doc_type=Wiring_Diagram; high=wiring diagram,circuit diagram,wiring,schematic; medium=diagram,circuit,interface; doc_suffix"
Documentacao Tecnica/Otis/Otis - cover dup2.jpg,review/Otis/Otis Escalator Connections Index.jpg,review,Otis,5,Datasheet,Escalator wiring index,Otis Escalator Connections Index,"high=wiring; medium=electrical,connection; doc_suffix"
Documentacao Tecnica/Otis/Otis - cover dup3.jpg,high_confidence/Otis/Otis E2718 VF Control Diagram.jpg,high_confidence,Otis,15,Wiring Diagram,VF control electrical diagram,Otis E2718 VF Control Diagram,"doc_type=Wiring_Diagram; high=wiring diagram,wiring; medium=electrical,diagram; doc_suffix"
Documentacao Tecnica/Otis/Otis - cover dup7.jpg,high_confidence/Otis/Otis DOMUS Model General Scheme.jpg,high_confidence,Otis,16,Wiring Diagram,General model schematic,Otis DOMUS Model General Scheme,"doc_type=Wiring_Diagram; high=wiring diagram,wiring,schematic; medium=diagram; doc_suffix"
Documentacao Tecnica/Otis/Otis - img121.jpg,high_confidence/Otis/Otis ADV - 210 Microprocessor Diagram.jpg,high_confidence,Otis,15,Wiring Diagram,Control diagram,Otis ADV-210 Microprocessor Diagram,"doc_type=Wiring_Diagram; high=wiring diagram,wiring; medium=electrical,diagram; doc_suffix"
Documentacao Tecnica/Otis/Otis - img122.jpg,high_confidence/Otis/Otis ADV - 210 Microprocessor Diagram__dup1.jpg,high_confidence,Otis,15,Wiring Diagram,Control diagram,Otis ADV-210 Microprocessor Diagram,"doc_type=Wiring_Diagram; high=wiring diagram,wiring; medium=electrical,diagram; doc_suffix"
